"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
2,39.4768631185,-0.3712310876,15,1338501600,2012,6,1,0,"Friday",97,0,0.9,0.4,128,22.4,64,1011,0,NA,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338505200,2012,6,1,1,"Friday",98,0,0.9,0.5,128,22.6,64,1011,0,NA,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338508800,2012,6,1,2,"Friday",99,0,1,0.5,30,22,68,1011,0,NA,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338512400,2012,6,1,3,"Friday",100,0,0.7,0.1,8,21.7,63,1010,0,0,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338516000,2012,6,1,4,"Friday",101,0,0.7,0.1,3,21.2,64,1010,0,0,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338519600,2012,6,1,5,"Friday",102,0,1.2,0.3,311,21.2,57,1010,0,0,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338523200,2012,6,1,6,"Friday",103,0,1.5,0.3,313,21.7,53,1010,0,0,NA,NA,NA,NA,0
2,39.4768631185,-0.3712310876,15,1338526800,2012,6,1,7,"Friday",104,0,1.2,0.2,286,23.3,48,1010,0,0,NA,NA,NA,NA,1
2,39.4768631185,-0.3712310876,15,1338530400,2012,6,1,8,"Friday",105,0,1.7,0.1,284,25.4,42,1010,0,0,NA,NA,NA,NA,4
2,39.4768631185,-0.3712310876,15,1338534000,2012,6,1,9,"Friday",106,0,1.8,0.4,250,27.3,36,1009,0,0,NA,NA,NA,NA,9
2,39.4768631185,-0.3712310876,15,1338537600,2012,6,1,10,"Friday",107,0,5.1,2.7,144,25.5,47,1009,0,1,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338541200,2012,6,1,11,"Friday",108,0,6.2,3.5,147,25.9,44,1009,0,4,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338544800,2012,6,1,12,"Friday",109,0,6.6,3.5,147,25.1,52,1009,0,9,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338548400,2012,6,1,13,"Friday",110,0,7.2,3.7,152,26,45,1008,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338552000,2012,6,1,14,"Friday",111,0,9.8,4.7,150,26.5,40,1008,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338555600,2012,6,1,15,"Friday",112,0,12.9,6.5,149,25.5,47,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338559200,2012,6,1,16,"Friday",113,0,13,6.2,147,25,53,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338562800,2012,6,1,17,"Friday",114,0,7.3,3.5,91,24.8,58,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338566400,2012,6,1,18,"Friday",115,0,5.6,3,44,23.8,63,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338570000,2012,6,1,19,"Friday",116,0,7.4,3.6,42,23.9,62,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338573600,2012,6,1,20,"Friday",117,0,7.4,3.8,41,23.4,67,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338577200,2012,6,1,21,"Friday",118,0,6.8,3.2,40,23.4,65,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338580800,2012,6,1,22,"Friday",119,0,5.7,2.8,48,23.3,67,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338584400,2012,6,1,23,"Friday",120,0,5.2,2.6,41,23,69,1008,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338588000,2012,6,2,0,"Saturday",121,0,5.1,2.3,47,22.8,69,1008,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338591600,2012,6,2,1,"Saturday",122,0,2.8,1,15,22.5,67,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338595200,2012,6,2,2,"Saturday",123,0,1,0.3,345,22,64,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338598800,2012,6,2,3,"Saturday",124,0,0.9,0.2,308,22.1,61,1007,0,12,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338602400,2012,6,2,4,"Saturday",125,0,1.2,0.3,299,21.9,60,1006,0,12,NA,NA,NA,NA,15
2,39.4768631185,-0.3712310876,15,1338606000,2012,6,2,5,"Saturday",126,0,1.7,0.5,312,21.3,60,1006,0,12,NA,NA,NA,NA,13
2,39.4768631185,-0.3712310876,15,1338609600,2012,6,2,6,"Saturday",127,0,1,0.3,281,22.1,56,1006,0,12,NA,NA,NA,NA,13
2,39.4768631185,-0.3712310876,15,1338613200,2012,6,2,7,"Saturday",128,0,1.4,0.4,202,23.6,52,1006,0,15,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338616800,2012,6,2,8,"Saturday",129,0,3,0.7,225,24.3,50,1007,0,13,NA,NA,NA,NA,8
2,39.4768631185,-0.3712310876,15,1338620400,2012,6,2,9,"Saturday",130,0,4.6,1.8,177,25.1,52,1007,0,13,NA,NA,NA,NA,8
2,39.4768631185,-0.3712310876,15,1338624000,2012,6,2,10,"Saturday",131,0,6.3,3.4,143,23.6,65,1007,0,12,NA,NA,NA,NA,10
2,39.4768631185,-0.3712310876,15,1338627600,2012,6,2,11,"Saturday",132,0,7.1,3.3,149,24.5,60,1006,0,8,NA,NA,NA,NA,10
2,39.4768631185,-0.3712310876,15,1338631200,2012,6,2,12,"Saturday",133,0,6.8,2.9,143,25.4,57,1006,0,8,NA,NA,NA,NA,8
2,39.4768631185,-0.3712310876,15,1338634800,2012,6,2,13,"Saturday",134,0,7.2,3,148,25.5,58,1005,0,10,NA,NA,NA,NA,11
2,39.4768631185,-0.3712310876,15,1338638400,2012,6,2,14,"Saturday",135,0,8,3.5,147,25.4,58,1004,0,10,NA,NA,NA,NA,8
2,39.4768631185,-0.3712310876,15,1338642000,2012,6,2,15,"Saturday",136,0,9.5,4.2,138,26.2,51,1004,0,8,NA,NA,NA,NA,5
2,39.4768631185,-0.3712310876,15,1338645600,2012,6,2,16,"Saturday",137,0,6.4,2.5,87,26.4,51,1003,0,11,NA,NA,NA,NA,5
2,39.4768631185,-0.3712310876,15,1338649200,2012,6,2,17,"Saturday",138,0,5.8,2.1,54,28.1,40,1003,0,8,NA,NA,NA,NA,1
2,39.4768631185,-0.3712310876,15,1338652800,2012,6,2,18,"Saturday",139,0,12.5,6.7,39,25.8,56,1004,0,5,NA,NA,NA,NA,4
2,39.4768631185,-0.3712310876,15,1338656400,2012,6,2,19,"Saturday",140,0,13.5,6.8,38,25,62,1005,0,5,NA,NA,NA,NA,15
2,39.4768631185,-0.3712310876,15,1338660000,2012,6,2,20,"Saturday",141,0,11.3,5.4,48,24.9,60,1005,0,1,NA,NA,NA,NA,15
2,39.4768631185,-0.3712310876,15,1338663600,2012,6,2,21,"Saturday",142,0,9,4.5,60,24.6,63,1005,0,4,NA,NA,NA,NA,14
2,39.4768631185,-0.3712310876,15,1338667200,2012,6,2,22,"Saturday",143,0,4.4,1.6,43,24.2,67,1006,0,15,NA,NA,NA,NA,13
2,39.4768631185,-0.3712310876,15,1338670800,2012,6,2,23,"Saturday",144,0,2.6,1.2,109,23.5,69,1006,0,15,NA,NA,NA,NA,14
2,39.4768631185,-0.3712310876,15,1338674400,2012,6,3,0,"Sunday",145,0,2.4,1.1,122,22.6,80,1006,0,14,NA,NA,NA,NA,15
2,39.4768631185,-0.3712310876,15,1338678000,2012,6,3,1,"Sunday",146,0,1,0.5,53,22.4,84,1005,0,13,NA,NA,NA,NA,12
2,39.4768631185,-0.3712310876,15,1338681600,2012,6,3,2,"Sunday",147,0,2.5,0.9,353,22.3,82,1005,0,14,NA,NA,NA,NA,11
2,39.4768631185,-0.3712310876,15,1338685200,2012,6,3,3,"Sunday",148,0,3.3,1.1,335,22.3,81,1005,0,15,NA,NA,NA,NA,10
2,39.4768631185,-0.3712310876,15,1338688800,2012,6,3,4,"Sunday",149,0,4.4,1.6,2,22.5,77,1005,0,12,NA,NA,NA,NA,9
2,39.4768631185,-0.3712310876,15,1338692400,2012,6,3,5,"Sunday",150,0,3.2,1,39,22.5,73,1006,0,11,NA,NA,NA,NA,7
2,39.4768631185,-0.3712310876,15,1338696000,2012,6,3,6,"Sunday",151,0,7.1,3.2,44,22.8,70,1006,0,10,NA,NA,NA,NA,5
